year,jan,feb,mar,april,may,june,july,aug,sept,oct,nov,dec,total,post_monsoon,summer,winter,monsoon,classification,category
1929,0.0,-0.5797692290241545,0.0,1.869065995013039,-0.7051201637454491,0.2572024597280454,-1.4169832092399088,-0.7900015834891477,-0.7018241099789039,0.8099200193770271,-0.5523541574472985,1.796575508108375,-1.2261474167041027,0.7263253100733466,-0.6148376429301472,0.9601277210866757,-1.3523699013987776,1,0
1930,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.6751258262595576,0.7283011628366677,-1.53475674850981,-0.9383693403695421,2.4259890569818574,-0.41694839871536044,-0.6865739998880442,-0.5853889018316827,-0.10564124564940736,-0.5087624985616549,-0.7011064690680409,-0.8086405688026457,-0.039748863989957396,1,2
1931,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,-1.1731879948253854,1.3844809029661063,0.41600355786736576,-0.8293489228827925,2.5022201250855454,1.8299372224688821,1.796575508108375,0.7898318188483542,2.7351182480415037,-0.7310354691096125,0.9601277210866757,0.08892726787842797,1,3
1932,0.0,-0.5797692290241545,0.0,-0.5781438617490843,0.42434136217765106,-0.9832109555287594,0.5477900689492722,-1.1215232205651162,-0.11326622871556943,1.654358358706867,-0.6236212187344253,1.796575508108375,-0.6097875626319792,1.5536923007497712,0.39596572143864883,0.9601277210866757,-0.7811418676238964,1,1
1933,0.0,-0.5797692290241545,0.0,-0.5781438617490843,1.818838387286812,-0.8662856636696804,-1.2852731127246086,0.25878230486876624,0.21114766879558236,-0.08118617994698765,-0.6983502149263773,1.796575508108375,-0.8795481718008081,-0.17748805963640685,1.787425077461933,0.9601277210866757,-0.9724962327432999,1,0
1934,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,1.3898414081624897,-0.8378380302267489,0.3454771971184188,-0.4401567829667894,-0.8926104748613056,1.8299372224688821,-0.5853889018316827,0.06685481150412045,-0.6308740699477371,-0.7310354691096125,-0.8086405688026457,0.22069063389666527,1,2
1935,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,0.9221601591180852,-0.6677927284431493,-0.4533422021588719,-0.28921625709869525,-0.3687358835167001,-0.5396967251868308,-0.5853889018316827,-0.384032085636746,-0.4405602414238758,-0.7310354691096125,-0.8086405688026457,-0.25495549738704626,1,1
1936,0.0,1.5966198650861099,0.0,-0.5781438617490843,0.7742965758305298,1.4397941368339944,-1.6764141915071804,-1.0588858381365827,-0.2475605262301821,-0.9674658535180083,1.8299372224688821,-0.5853889018316827,-0.9173303908740758,-0.7050935698905566,0.7451586185610413,0.5951262862693112,-0.8589776759730513,1,0
1937,0.0,1.7912039585162693,0.0,-0.5781438617490843,-0.7051201637454491,0.20993183202467328,0.6890924830398286,-1.376721226110138,-0.1820046541001395,-0.3604942873699552,-0.6983502149263773,1.796575508108375,-0.36598656711500227,-0.45442351083463195,-0.7310354691096125,2.4894009489026803,-0.24711779673631887,1,1
1938,0.0,-0.5797692290241545,0.0,-0.5781438617490843,1.818838387286812,0.9989299360517485,-0.7624345289156246,-0.11104078809296171,-0.7491538335141705,2.5022201250855454,1.8299372224688821,-0.5853889018316827,0.5845758379745711,2.7351182480415037,1.787425077461933,-0.8086405688026457,-0.2800067963020502,1,2
1939,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,-1.531433129650575,0.19495173481413114,-0.30384459438925204,-0.8924517304241776,-0.9483978799538993,1.8299372224688821,-0.5853889018316827,-1.2128113619934369,-0.686187574246056,-0.7310354691096125,-0.8086405688026457,-1.161321638610975,1,0
1940,0.0,1.7912039585162693,0.0,-0.5781438617490843,-0.7051201637454491,0.4550350889213463,-0.22578212448997403,0.5443809630233066,0.6233209388236857,1.3505478175020755,1.8299372224688821,-0.5853889018316827,0.7378902680894872,1.5932291239633856,-0.7310354691096125,0.7206326590133588,0.6118816879573162,1,3
1941,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,-1.2033810882109828,-0.8806079103144103,-1.4584175754892088,-0.8772755688899391,0.30614141920685267,-0.6983502149263773,-0.5853889018316827,-2.0888110353772373,0.20654928329241373,-0.7310354691096125,-0.8086405688026457,-2.1822221103588917,0,0
1942,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,0.5995209984302934,0.4586752287848804,-0.8056938026335436,0.03239654702028035,-0.9856884550372446,-0.6983502149263773,1.796575508108375,-0.05299139642022291,-1.0743068021107032,-0.7310354691096125,0.9601277210866757,0.18320557587726902,1,2
1943,0.0,-0.5797692290241545,0.0,-0.5781438617490843,1.818838387286812,0.7209965613076645,-0.05385996963213451,-1.545322320155522,-0.30559082359319484,0.5827354115579447,-0.5885151277752262,-0.5853889018316827,-0.28373282230439856,0.49604830487836266,1.787425077461933,-0.8086405688026457,-0.5488312733617631,1,1
1944,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.4285664703626396,-0.7135014977909034,1.2111774457578002,0.01278601601224673,-1.3384637986335994,0.08003457074724242,-0.6983502149263773,-0.5853889018316827,-0.2542913239747831,-0.01763684103783142,-0.45508419981939524,-0.8086405688026457,-0.17538791048269714,1,1
1945,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,0.2676272947850368,-0.0982080735133706,0.60282100490121,-0.3229083285147181,-0.9156915455713476,-0.49063355753367854,-0.5853889018316827,0.04600077447491257,-0.9760554246030295,-0.7310354691096125,-0.8086405688026457,0.25187902771653603,1,2
